console,genre,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year
PS3,Action,9.4,20.32,6.37,0.99,9.85,3.12,2013
PS4,Action,9.7,19.39,6.06,0.6,9.71,3.02,2014
PS2,Action,9.6,16.15,8.41,0.47,5.49,1.78,2002
X360,Action,7.5,15.86,9.06,0.06,5.33,1.42,2013
PS4,Shooter,8.1,15.09,6.18,0.41,6.05,2.44,2015
X360,Shooter,8.7,14.82,9.07,0.13,4.29,1.33,2011
X360,Shooter,8.8,14.74,9.76,0.11,3.73,1.14,2010
PS4,Action-Adventure,9.8,13.94,5.26,0.21,6.21,2.26,2018
X360,Shooter,8.4,13.86,8.27,0.07,4.32,1.2,2012
PS3,Shooter,8.0,13.8,4.99,0.65,5.88,2.28,2012
X360,Shooter,9.5,13.53,8.54,0.08,3.63,1.28,2009
PS4,Shooter,8.1,13.4,4.67,0.4,6.21,2.12,2017
PS3,Shooter,8.8,13.35,5.54,0.49,5.78,1.54,2011
PS2,Action,9.5,13.1,6.99,0.3,4.51,1.3,2001
PS3,Shooter,8.7,12.67,6.01,0.48,4.4,1.78,2010
PS4,Sports,8.3,11.8,1.27,0.15,8.64,1.73,2017
X360,Action,10.0,11.09,6.8,0.14,3.11,1.04,2008
PS4,Sports,8.9,10.94,1.26,0.12,7.95,1.61,2016
PS3,Shooter,9.5,10.61,4.99,0.38,3.66,1.59,2009
PS3,Action,10.0,10.57,4.79,0.44,3.73,1.62,2008
X360,Shooter,6.9,10.41,6.76,0.04,2.64,0.98,2013
PS3,Shooter,7.5,10.13,4.11,0.39,4.01,1.62,2013
X360,Shooter,9.3,9.97,7.08,0.08,2.01,0.8,2010
X360,Shooter,7.5,9.96,6.72,0.04,2.36,0.83,2012
X360,Shooter,9.6,9.41,5.98,0.13,2.39,0.91,2007
PS4,Shooter,7.5,9.32,4.05,0.5,3.28,1.49,2018
PS4,Sports,7.5,9.15,0.84,0.1,6.87,1.34,2018
X360,Role-Playing,9.3,8.88,5.1,0.1,2.83,0.85,2011
XOne,Action,9.0,8.72,4.7,0.01,3.25,0.76,2014
PS4,Shooter,7.9,8.48,3.11,0.19,3.83,1.36,2016
PS4,Role-Playing,8.6,8.48,2.91,0.27,3.97,1.34,2015
PS4,Sports,8.5,8.22,1.15,0.07,5.77,1.23,2015
PS4,Shooter,7.1,8.03,3.31,0.23,3.19,1.3,2015
PS3,Sports,7.5,8.01,1.07,0.13,5.13,1.68,2012
PC,Simulation,8.5,7.96,1.01,0.04,6.46,0.5,2009
PSP,Action,8.8,7.72,2.9,0.24,2.83,1.74,2005
PS4,Shooter,8.5,7.53,2.84,0.14,3.34,1.22,2014
X360,Shooter,8.5,7.5,4.88,0.04,1.91,0.71,2008
XOne,Shooter,7.5,7.37,4.63,0.02,2.04,0.68,2015
X360,Shooter,8.5,7.35,4.47,0.06,2.12,0.69,2011
PS4,Shooter,9.1,7.26,2.2,0.29,3.65,1.12,2016
PS3,Shooter,8.5,7.21,2.86,0.35,2.94,1.07,2011
PS2,Racing,8.6,7.2,3.27,0.08,2.83,1.02,2003
PS2,Racing,8.3,6.9,2.71,0.08,3.02,1.09,2004
Wii,Music,7.5,6.89,4.05,0.04,2.21,0.62,2012
PS2,Shooter,9.0,6.83,2.93,0.17,2.75,0.99,2002
PS3,Action,9.5,6.74,3.28,0.21,2.22,1.02,2009
PS3,Shooter,9.5,6.72,3.13,0.28,2.27,1.04,2007
PS3,Sports,9.2,6.65,0.84,0.11,4.33,1.37,2011
PS3,Sports,7.5,6.61,0.79,0.07,4.77,0.98,2013
PS3,Action,9.5,6.57,2.82,0.17,2.58,1.0,2011
X360,Action,9.5,6.5,3.77,0.09,2.03,0.6,2010
PS3,Action-Adventure,8.8,6.5,2.65,0.16,2.61,1.08,2012
PS3,Role-Playing,9.0,6.49,2.57,0.25,2.68,0.99,2011
PS4,Misc,9.4,6.33,1.89,0.35,3.13,0.96,2014
PS4,Sports,8.1,6.32,0.83,0.05,4.49,0.94,2014
PS,Action,8.5,6.27,3.11,0.02,2.8,0.33,1999
XOne,Shooter,7.5,6.23,3.75,0.04,1.91,0.57,2017
PS3,Misc,7.5,6.05,2.21,0.04,2.86,0.99,2014
XOne,Action-Adventure,7.5,5.77,3.76,0.04,1.47,0.54,2018
PS4,Shooter,7.5,5.76,2.53,0.16,2.13,0.94,2014
PS,Fighting,9.1,5.74,2.26,1.36,1.89,0.23,1996
Wii,Action,8.0,5.66,3.57,0.04,1.57,0.52,2007
DS,Simulation,6.6,5.66,3.09,0.07,1.92,0.58,2006
PS3,Action,9.0,5.57,2.54,0.21,1.95,0.86,2009
X360,Action,8.2,5.55,3.28,0.07,1.64,0.56,2007
PS3,Action,9.6,5.54,2.72,0.11,1.89,0.82,2011
X360,Racing,9.2,5.5,2.99,0.1,1.9,0.51,2009
PS3,Shooter,8.4,5.43,2.75,0.04,1.84,0.84,2008
XOne,Misc,7.5,5.43,3.23,0.04,1.71,0.49,2014
PS2,Platform,6.9,5.42,2.07,0.24,2.29,0.82,2001
PS3,Role-Playing,8.0,5.35,1.75,1.87,1.23,0.51,2010
X360,Action-Adventure,7.5,5.31,3.13,0.03,1.71,0.45,2012
X360,Action,9.1,5.3,3.14,0.08,1.55,0.52,2009
PS,Adventure,7.6,5.24,2.3,0.2,2.46,0.28,1997
PS2,Sports,9.5,5.23,4.26,0.01,0.26,0.71,2003
XOne,Shooter,8.3,5.22,3.25,0.01,1.49,0.48,2014
PS2,Shooter,5.9,5.13,1.98,0.13,2.23,0.8,2003
XOne,Shooter,9.3,5.13,3.37,0.02,1.26,0.48,2016
PC,Simulation,7.0,5.12,3.22,0.04,1.69,0.2,1996
PS2,Misc,9.2,5.12,3.81,0.04,0.63,0.68,2006
X360,Sports,7.5,5.11,1.1,0.03,3.49,0.5,2012
DS,Sports,7.0,5.1,1.63,0.44,2.46,0.57,2008
X360,Role-Playing,7.8,5.1,3.59,0.05,1.09,0.37,2010
PS3,Action,8.6,5.1,1.96,1.08,1.42,0.64,2009
PS3,Sports,8.7,5.08,0.61,0.06,3.28,1.12,2010
PSP,Action,8.4,5.08,1.7,0.16,2.03,1.19,2006
PS4,Role-Playing,8.1,5.07,1.81,1.05,1.53,0.68,2016
XOne,Role-Playing,8.4,5.03,2.94,0.02,1.62,0.45,2015
PS,Sports,9.6,5.02,3.42,0.02,1.38,0.2,1999
PS,Strategy,7.5,5.01,2.79,0.04,1.89,0.33,1999
PS2,Misc,8.2,4.98,3.49,0.01,0.01,1.48,2007
PS3,Action,8.7,4.97,2.32,0.12,1.73,0.8,2007
X360,Role-Playing,9.0,4.96,3.41,0.09,0.99,0.46,2008
PS2,Sports,9.1,4.91,3.98,0.01,0.26,0.66,2005
XOne,Shooter,7.5,4.85,3.27,0.04,1.12,0.46,2018
PS3,Action,8.2,4.83,1.91,0.09,2.01,0.82,2007
PS4,Platform,7.5,4.83,1.09,0.07,2.92,0.74,2017
XOne,Shooter,7.5,4.79,2.91,0.04,1.44,0.44,2016
PS,Racing,9.2,4.79,2.57,0.44,1.57,0.21,1999
DS,Action,7.8,4.77,2.83,0.04,1.49,0.45,2007
X360,Action,9.5,4.75,2.99,0.04,1.28,0.44,2011
PS,Action,7.0,4.73,2.36,0.02,2.1,0.25,2000
PS2,Racing,7.7,4.7,1.73,0.04,2.19,0.79,2003
PS,Sports,9.3,4.68,3.05,0.02,1.41,0.2,2000
PS2,Action,8.3,4.67,1.94,0.08,1.95,0.7,2002
PS,Action,8.9,4.63,2.29,0.13,1.97,0.24,1996
X360,Racing,9.1,4.6,2.08,0.06,1.98,0.49,2011
Wii,Misc,8.6,4.6,3.04,0.0,1.12,0.44,2007
PS3,Sports,6.9,4.56,0.59,0.04,3.25,0.68,2014
Wii,Sports,6.8,4.54,1.87,0.22,1.97,0.48,2009
PS4,Shooter,8.8,4.54,1.84,0.17,1.8,0.73,2016
X360,Misc,8.7,4.53,3.19,0.01,0.91,0.42,2007
PS4,Shooter,7.5,4.53,1.7,0.12,1.99,0.73,2017
PS2,Sports,9.5,4.53,4.18,0.01,0.26,0.08,2004
PS2,Action,8.2,4.48,2.71,0.03,1.51,0.23,2002
X360,Role-Playing,9.2,4.47,2.89,0.13,1.03,0.41,2009
PS2,Sports,9.1,4.41,2.66,0.01,1.29,0.46,2001
PS2,Sports,8.8,4.39,0.1,1.05,2.39,0.86,2007
PS4,Shooter,7.5,4.37,1.49,0.16,2.04,0.69,2016
PS2,Racing,8.6,4.37,2.03,0.08,1.79,0.47,2005
Wii,Misc,5.6,4.37,2.64,0.01,1.33,0.39,2010
PS4,Shooter,7.5,4.36,1.29,0.36,2.06,0.64,2015
X360,Shooter,9.1,4.34,2.81,0.0,1.13,0.41,2014
PS4,Action-Adventure,7.5,4.32,1.4,0.11,2.13,0.68,2014
2600,Shooter,7.5,4.31,4.0,0.04,0.26,0.05,1981
PS3,Action,9.0,4.28,2.26,0.07,1.33,0.63,2009
PS3,Shooter,9.1,4.27,1.59,0.2,1.81,0.67,2014
GBA,Misc,7.5,4.24,3.0,0.05,1.11,0.07,2001
PS3,Action,8.8,4.23,1.41,0.1,2.03,0.69,2011
X360,Action,7.9,4.22,2.28,0.04,1.47,0.44,2011
PS2,Sports,8.4,4.21,0.78,0.04,2.55,0.84,2005
PS3,Fighting,9.3,4.19,2.04,0.59,1.05,0.52,2009
X360,Sports,9.2,4.18,0.85,0.02,2.79,0.52,2011
PS4,Shooter,7.5,4.17,1.79,0.05,1.64,0.69,2013
NES,Platform,5.9,4.17,3.38,0.31,0.44,0.04,1989
PS,Action,7.5,4.16,3.79,0.04,0.27,0.11,1997
X360,Sports,7.5,4.15,0.94,0.01,2.92,0.29,2013
XOne,Shooter,6.9,4.15,2.49,0.02,1.26,0.38,2015
PS2,Sports,9.4,4.14,3.36,0.01,0.21,0.56,2002
PS4,Action,7.5,4.14,1.25,0.09,2.16,0.65,2014
PS4,Shooter,7.5,4.14,1.92,0.1,1.44,0.69,2017
PS2,Sports,8.4,4.11,0.71,0.03,2.48,0.89,2006
PS4,Action,8.1,4.11,1.65,0.11,1.68,0.66,2015
PC,Simulation,7.0,4.1,1.2,0.04,2.6,0.3,2014
X360,Role-Playing,8.2,4.08,2.67,0.04,1.03,0.34,2010
Wii,Misc,4.2,4.06,2.12,0.05,1.47,0.42,2007
PS4,Shooter,8.4,4.06,1.18,0.11,2.14,0.63,2014
PS4,Action,7.5,4.06,1.22,0.11,2.11,0.63,2017
PS2,Sports,8.9,4.06,0.12,0.9,2.26,0.77,2006
X360,Racing,9.1,4.05,2.35,0.03,1.27,0.41,2007
PS,Misc,7.5,4.05,2.28,0.16,1.55,0.06,1997
PS2,Fighting,8.7,4.05,1.68,0.51,1.51,0.35,2000
PS3,Role-Playing,8.8,4.0,2.18,0.07,1.15,0.61,2008
PC,Role-Playing,9.2,3.99,1.18,0.04,2.25,0.56,2011
PS4,Sports,8.7,3.98,2.56,0.05,0.66,0.71,2015
PS2,Misc,7.5,3.98,2.08,0.04,1.35,0.54,2005
PS4,Action,7.9,3.95,1.44,0.15,1.73,0.62,2018
PS4,Shooter,8.3,3.94,1.4,0.19,1.74,0.62,2013
PS3,Action-Adventure,8.7,3.94,1.34,0.13,1.86,0.62,2013
PS2,Sports,8.7,3.9,2.29,0.01,1.17,0.42,2003
Wii,Music,7.4,3.89,1.91,0.04,1.66,0.33,2013
PS3,Sports,7.6,3.88,2.15,0.1,1.13,0.5,2010
PS2,Sports,9.3,3.85,0.16,1.12,1.89,0.68,2005
PS,Misc,7.5,3.84,2.12,0.22,1.44,0.06,1996
X360,Adventure,7.5,3.76,2.4,0.04,1.01,0.36,2008
PC,Simulation,7.3,3.76,2.03,0.04,1.56,0.17,2002
PSP,Platform,8.5,3.75,1.4,0.1,1.4,0.86,2007
XOne,Sports,8.8,3.71,1.04,0.04,2.4,0.27,2016
PS2,Sports,8.4,3.7,0.58,0.04,2.48,0.59,2004
PS2,Sports,9.6,3.67,2.13,0.01,1.18,0.35,2002
DS,Simulation,6.7,3.66,1.58,0.08,1.6,0.4,2007
PSP,Racing,7.2,3.66,1.65,0.04,1.22,0.79,2005
PS2,Shooter,8.0,3.65,2.53,0.06,0.81,0.24,2002
PS3,Shooter,8.7,3.64,1.31,0.27,1.5,0.55,2013
PS2,Platform,9.0,3.64,2.08,0.15,1.09,0.33,2001
PS2,Sports,8.2,3.63,0.05,0.64,0.0,2.93,2008
PS3,Sports,9.0,3.63,0.6,0.05,2.46,0.52,2009
Wii,Misc,8.4,3.62,2.32,0.04,0.96,0.34,2008
PS2,Racing,6.1,3.61,2.02,0.04,1.17,0.42,2001
PS2,Shooter,8.1,3.61,1.93,0.03,1.22,0.44,2004
PC,Shooter,9.3,3.61,2.05,0.04,1.4,0.16,1994
PS4,Action,8.6,3.6,0.9,0.08,2.06,0.55,2015
PS2,Shooter,8.5,3.59,2.18,0.03,1.02,0.37,2005
XOne,Action,7.5,3.58,2.34,0.0,0.9,0.34,2014
PS,Fighting,7.5,3.58,2.01,0.06,1.35,0.16,2000
DS,Simulation,6.9,3.58,1.6,0.1,1.49,0.39,2007
PS2,Action,7.7,3.54,1.23,0.05,1.77,0.49,2003
PS,Adventure,8.2,3.54,1.66,0.12,1.58,0.18,1998
PS2,Action,8.3,3.54,1.56,0.07,1.4,0.5,2006
X360,Shooter,8.7,3.54,2.16,0.02,1.05,0.32,2013
X360,Action,9.1,3.54,2.24,0.02,0.95,0.33,2009
X360,Action,8.6,3.53,2.13,0.12,0.93,0.34,2009
X360,Action,9.1,3.53,2.87,0.03,0.39,0.25,2010
PS2,Action,7.9,3.53,1.98,0.01,1.14,0.41,2005
PS2,Shooter,7.5,3.53,1.9,0.1,1.13,0.41,2001
PS,Action,7.5,3.52,1.96,0.04,1.33,0.23,2000
X360,Sports,8.7,3.52,0.71,0.02,2.39,0.4,2010
PS4,Sports,9.0,3.52,2.28,0.03,0.59,0.63,2016
PS4,Fighting,7.5,3.49,1.94,0.04,0.94,0.61,2015
PS2,Sports,8.0,3.49,0.59,0.04,2.36,0.51,2003
X360,Shooter,8.3,3.48,2.43,0.03,0.72,0.3,2009
X360,Shooter,9.0,3.48,2.11,0.04,1.01,0.33,2010
DS,Sports,7.6,3.47,1.21,0.27,1.63,0.37,2009
DS,Misc,7.1,3.46,2.1,0.01,1.01,0.35,2008
PS2,Fighting,7.9,3.44,1.55,0.33,1.27,0.29,2002
X360,Adventure,7.5,3.44,2.07,0.04,1.04,0.34,2008
XOne,Shooter,8.8,3.44,2.06,0.03,1.04,0.31,2014
PS3,Platform,9.1,3.43,1.83,0.06,1.07,0.47,2011
PS4,Sports,7.5,3.43,0.62,0.12,2.18,0.51,2013
PS,Action,6.9,3.42,1.13,0.04,2.07,0.22,1999
XOne,Shooter,8.3,3.41,2.17,0.04,0.92,0.32,2014
PS2,Action,7.9,3.41,1.75,0.02,1.2,0.43,2004
PS2,Sports,7.5,3.4,0.46,0.05,2.28,0.61,2002
PS,Misc,6.8,3.39,1.56,0.19,1.47,0.17,2000
XOne,Shooter,7.5,3.38,2.17,0.04,0.9,0.32,2016
PS4,Role-Playing,8.3,3.36,1.24,0.08,1.5,0.54,2016
PS4,Action,7.5,3.36,0.98,0.12,1.74,0.52,2016
PS,Fighting,7.5,3.36,2.47,0.04,0.76,0.13,1998
X360,Action-Adventure,8.5,3.34,1.9,0.01,1.14,0.3,2013
PS4,Sports,8.1,3.34,2.13,0.04,0.57,0.59,2017
PS2,Shooter,7.5,3.33,1.45,0.12,1.29,0.46,2002
PS2,Action,7.5,3.32,1.47,0.03,1.39,0.43,2005
PS2,Shooter,8.1,3.31,1.99,0.05,1.05,0.22,2001
PS4,Sports,8.2,3.3,2.39,0.04,0.31,0.61,2015
PS2,Action,8.4,3.28,1.5,0.05,1.28,0.46,2003
PS4,Sports,8.5,3.28,2.3,0.04,0.37,0.6,2016
PSP,Racing,7.5,3.27,0.51,0.31,1.59,0.86,2009
PS3,Shooter,7.5,3.27,0.88,0.1,1.79,0.5,2012
PS2,Action,7.5,3.27,1.89,0.02,1.05,0.31,2003
XOne,Sports,8.5,3.25,0.92,0.04,2.1,0.24,2015
PS3,Adventure,9.1,3.21,1.29,0.12,1.31,0.49,2011
PS,Shooter,6.2,3.21,1.72,0.04,1.33,0.16,1999
PS,Fighting,8.7,3.2,1.76,0.07,1.21,0.16,2000
PS4,Action-Adventure,8.3,3.19,1.07,0.06,1.55,0.51,2013
PS2,Action,7.5,3.18,1.78,0.09,1.12,0.19,2003
PS4,Action-Adventure,9.5,3.18,1.18,0.09,1.4,0.51,2018
PS3,Role-Playing,8.2,3.17,1.54,0.1,1.04,0.49,2010
PS2,Sports,7.5,3.14,0.68,0.04,0.0,2.46,2007
DS,Adventure,7.0,3.14,1.87,0.04,0.97,0.3,2008
XOne,Sports,8.0,3.14,0.98,0.04,1.92,0.23,2017
PS,Action,7.5,3.13,1.7,0.02,1.25,0.16,2000
PS3,Role-Playing,9.3,3.12,1.69,0.14,0.86,0.44,2007
PS3,Action,7.5,3.12,0.88,0.88,0.97,0.39,2012
PS,Racing,7.5,3.12,2.14,0.04,0.86,0.13,1998
PS4,Shooter,7.0,3.12,1.07,0.22,1.35,0.47,2017
XOne,Shooter,7.5,3.11,1.88,0.04,0.91,0.28,2014
X360,Sports,8.6,3.11,2.62,0.01,0.21,0.28,2012
X360,Role-Playing,9.5,3.1,1.99,0.03,0.81,0.27,2010
Wii,Adventure,7.3,3.08,1.8,0.04,0.98,0.29,2008
PS2,Sports,7.5,3.08,2.5,0.01,0.16,0.42,2001
X360,Action,7.9,3.07,1.98,0.02,0.79,0.28,2008
XOne,Shooter,7.5,3.07,1.92,0.04,0.86,0.28,2013
PC,Simulation,7.5,3.07,1.72,0.04,1.21,0.14,2002
X360,Shooter,7.5,3.06,1.89,0.04,0.88,0.26,2013
DS,Adventure,7.8,3.06,1.75,0.04,1.02,0.29,2008
X360,Platform,7.5,3.05,1.91,0.04,0.84,0.29,2008
PS4,Action,7.5,3.04,0.97,0.5,1.15,0.42,2015
X360,Role-Playing,9.5,3.04,1.94,0.03,0.84,0.24,2012
PS,Platform,7.0,3.03,1.54,0.04,1.33,0.16,1995
XB,Action,9.3,3.02,1.85,0.04,1.04,0.13,2002
PS2,Fighting,8.4,3.0,1.57,0.04,1.02,0.41,2005
PC,Misc,7.5,2.99,1.67,0.04,1.18,0.13,2000
PS2,Sports,7.5,2.99,0.12,1.16,1.26,0.45,2003
X360,Shooter,7.5,2.98,1.38,0.02,1.33,0.25,2012
PS2,Action,7.5,2.96,1.36,0.04,1.15,0.41,2002
PS3,Shooter,8.9,2.96,1.33,0.08,1.11,0.44,2010
X360,Fighting,9.3,2.95,1.83,0.15,0.7,0.26,2009
PS2,Fighting,7.5,2.94,1.45,0.04,1.11,0.33,2005
GBA,Puzzle,7.5,2.94,2.07,0.05,0.77,0.05,2001
X360,Sports,8.0,2.93,2.53,0.04,0.16,0.24,2012
PS4,Shooter,7.5,2.92,0.93,0.04,1.48,0.46,2016
X360,Sports,6.9,2.91,0.8,0.04,1.9,0.21,2014
X360,Role-Playing,9.2,2.91,1.83,0.03,0.79,0.27,2007
PS3,Fighting,8.5,2.9,1.98,0.04,0.54,0.38,2011
PS2,Shooter,7.5,2.89,1.51,0.01,1.12,0.24,2004
Wii,Simulation,5.9,2.89,1.41,0.05,1.12,0.3,2007
X360,Sports,6.9,2.89,1.75,0.04,0.86,0.28,2008
PS2,Sports,7.5,2.89,0.99,1.38,0.32,0.2,2002
DS,Simulation,3.5,2.87,1.3,0.04,1.26,0.31,2007
PS,Racing,7.9,2.87,0.09,0.12,2.43,0.22,2000
PS4,Action-Adventure,6.9,2.87,0.72,0.04,1.67,0.44,2016
XB,Role-Playing,8.2,2.86,2.09,0.03,0.63,0.11,2002
PS3,Action,9.1,2.85,1.87,0.11,0.57,0.3,2010
X360,Sports,8.6,2.83,2.52,0.04,0.09,0.22,2009
X360,Shooter,9.6,2.83,1.65,0.05,0.85,0.28,2007
PS2,Fighting,7.5,2.83,1.32,0.04,1.08,0.39,2004
Wii,Sports,7.5,2.83,1.52,0.04,1.05,0.26,2011
PS4,Role-Playing,7.5,2.82,0.83,0.08,1.48,0.44,2014
GBA,Platform,7.0,2.82,1.59,0.04,1.05,0.14,2003
PSN,Racing,7.8,2.82,0.43,0.31,0.91,1.16,2009
PS3,Shooter,6.7,2.82,1.28,0.07,1.04,0.43,2010
DS,Simulation,3.0,2.81,1.32,0.04,1.19,0.3,2007
PS3,Racing,8.9,2.81,1.05,0.03,1.24,0.49,2010
PS3,Shooter,8.2,2.81,1.46,0.09,0.87,0.38,2011
PS2,Sports,7.5,2.79,2.19,0.04,0.22,0.38,2001
Wii,Action,8.0,2.79,1.35,0.04,1.15,0.3,2011
PS2,Fighting,7.5,2.79,1.19,0.04,1.15,0.41,2001
PS,Fighting,7.5,2.79,1.98,0.04,0.7,0.11,1996
PS,Sports,7.5,2.79,0.29,2.13,0.2,0.18,1998
PS,Platform,3.6,2.79,1.96,0.04,0.72,0.11,1998
X360,Action,7.1,2.77,1.74,0.04,0.78,0.26,2008
X360,Action,8.3,2.77,1.26,0.07,1.14,0.3,2011
PS2,Simulation,7.5,2.77,1.41,0.04,1.12,0.24,2003
PC,Shooter,8.9,2.76,0.89,0.04,1.44,0.43,2011
PS3,Racing,8.5,2.74,0.71,0.06,1.52,0.45,2012
PS4,Action-Adventure,7.2,2.73,0.63,0.07,1.61,0.41,2016
X360,Adventure,9.1,2.73,1.55,0.02,0.92,0.24,2011
XOne,Shooter,8.7,2.72,1.63,0.04,0.84,0.25,2016
PS4,Racing,7.0,2.72,0.59,0.06,1.66,0.41,2015
XOne,Shooter,7.5,2.71,1.62,0.04,0.84,0.25,2015
X360,Sports,8.3,2.71,1.47,0.04,0.99,0.25,2010
